-3.60E+01,0.00E+00,0.00E+00.1,0.00E+00.2,2.66E-14,0.00E+00.3,6.86E-14,0.00E+00.4,7.68E-14,0.00E+00.5,6.75E-14,0.00E+00.6,3.51E-14,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
-0.688,-12.7,-0.723,-3.25,-0.945,-2.82,-1.05,-0.974,0.182,0.0386,0.527,-0.647,-0.521,0
3.29,-31.8,-17.7,-5.64,3.58,5.34,4.1,-4.43,-10.2,-1.81,-0.581,-4.08,9.83,0
1.07,-45.2,-4.36,-6.36,-1.95,-12.8,-14.1,-5.91,2.54,-10.0,-16.7,-5.69,-1.3,0
0.665,-26.0,-14.4,-5.7,0.603,0.375,-5.7,-19.4,1.05,3.51,9.79,-8.92,-3.44,0
5.8,-26.1,-24.3,19.6,-8.59,-15.9,3.46,-19.3,8.08,10.2,-8.14,3.36,-0.96,0
4.0,-29.3,-9.54,7.9,-9.04,5.01,-14.4,-8.56,6.78,-7.99,6.14,-7.5,-4.06,0
4.61,-32.2,-14.7,15.5,-14.1,-22.0,7.81,8.65,1.63,-6.48,3.19,1.33,16.3,0
0.664,-30.5,-9.5,-6.72,-18.2,-5.31,10.7,-13.3,-1.81,3.84,1.43,-5.97,1.71,0
2.69,-21.6,-1.95,-1.17,-5.82,-8.61,4.78,-7.94,-10.8,6.43,8.13,-4.66,-1.95,0
4.94,-32.0,-6.59,-0.141,-2.62,9.2,-12.3,22.6,-10.8,1.92,-4.5,3.55,-11.2,0
2.86,-34.2,-2.07,2.89,-1.66,13.8,15.4,13.1,0.28,0.883,-7.56,-14.3,-2.13,0
3.84,-21.6,-14.3,1.76,-7.6,-8.62,7.3,-15.1,3.46,6.35,5.63,-9.29,4.46,0
3.06,-42.6,-24.1,-11.7,-3.49,2.04,2.28,3.7,-11.1,-6.09,12.0,6.03,1.76,0
3.81,-27.0,-1.07,16.3,-9.21,5.98,0.786,-9.9,4.06,-7.8,10.9,-3.97,-1.03,0
-0.0295,-38.7,-15.6,-4.88,-12.0,-0.681,-8.16,2.47,-4.78,3.02,-3.25,1.52,-3.17,0
-0.0242,-25.1,-19.7,-14.3,3.64,-12.4,-6.42,10.1,-16.0,10.8,-3.23,-6.17,8.54,0
0.665,-41.8,-10.9,-5.7,-2.81,3.22,4.12,2.45,-6.9,-11.3,-7.9,1.8,5.69,0
1.07,-38.1,2.78,5.15,-19.8,-22.9,1.46,14.1,-8.89,2.77,-6.03,-7.29,11.7,0
1.58,-47.8,-8.52,-3.43,-9.78,-10.9,-1.82,-3.53,-4.1,2.22,6.58,-5.86,-5.72,0
2.89,-26.7,-6.99,-16.2,-6.78,17.1,-3.04,-2.56,-6.87,-2.67,2.59,-10.9,13.6,0
2.5,-31.7,2.12,-0.936,-9.49,10.2,2.7,-1.63,4.66,1.16,1.16,-7.93,10.5,0
2.58,-31.3,-6.18,8.36,12.2,3.77,6.88,-1.54,-10.6,6.61,9.32,-13.2,-20.7,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
3.25,-30.6,-12.2,-4.89,-4.52,0.703,0.21,-2.05,-0.566,4.62,15.0,0.304,4.94,0
4.95,-34.8,-0.778,10.6,-26.5,11.0,6.63,7.05,9.68,-12.1,-4.84,-0.989,20.7,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
1.07,-45.4,-4.46,-6.72,-1.35,-11.6,-7.84,4.86,12.2,0.798,2.76,11.1,5.79,0
2.37,-35.0,-4.04,-2.66,-17.9,-5.9,-5.93,2.2,-9.4,-4.31,0.503,1.37,-4.48,0
3.17,-28.6,-21.6,-6.89,0.966,4.75,-9.86,-10.1,4.6,-2.23,16.4,12.1,1.04,0
3.83,-34.8,-5.04,8.03,-4.24,12.3,-11.5,-1.93,-12.2,-3.03,1.93,-11.6,15.9,0
1.92,-40.6,-17.6,-5.69,7.25,17.8,4.31,-20.8,-4.14,-19.6,-5.47,5.84,12.0,0
1.48,-27.9,0.972,8.69,4.07,2.26,7.86,3.82,-10.9,-16.7,7.43,5.52,-3.51,0
1.36,-38.4,-6.16,-0.753,-10.7,-25.5,-13.3,10.0,8.6,-12.2,-4.66,-7.78,-5.9,0
4.97,-30.0,-14.4,13.6,8.6,-15.6,-9.3,17.0,-6.97,2.38,-1.47,-9.05,0.99,0
3.78,-30.6,-6.89,8.11,4.2,4.89,4.44,8.58,-9.09,-22.2,13.4,14.3,-9.53,0
2.54,-38.3,-22.6,-12.9,-5.71,-11.3,-3.26,-6.96,-8.78,-6.04,-9.13,-9.64,-2.79,0
1.76,-41.0,-2.24,-5.94,-5.83,17.2,16.9,3.4,1.78,-20.7,-18.7,-12.4,6.51,0
1.84,-27.4,1.16,-0.502,-4.36,-1.79,-5.94,8.74,13.6,-1.62,3.72,4.36,-10.0,0
-0.0261,-45.1,-7.97,-12.3,-5.1,-6.9,-2.59,-2.47,-0.434,-0.763,0.0301,-1.29,-0.797,0
4.52,-26.2,-16.1,17.2,1.84,-22.4,9.07,-3.43,5.29,-5.13,-1.76,6.3,-2.37,0
3.47,-38.0,-12.1,-8.15,-15.5,3.62,-1.9,-18.4,-22.8,-18.5,2.47,0.128,3.61,0
3.61,-25.5,-9.14,-1.79,-0.715,-4.45,-13.1,12.4,10.6,-0.498,-4.24,2.68,2.79,0
2.74,-38.8,-4.59,-14.9,-4.74,-1.87,-15.8,11.6,7.35,14.5,16.6,-1.73,14.8,0
